Course Code,Course Prefix,Course Number,Course Section,Season,Year,Course Name,Instructor,URL,Page,Link Index,Total Students,Grade A,Grade A-,Grade B+,Grade B,Grade B-,Grade C+,Grade C,Grade C-,Grade D,Grade F,Overall Mean,Overall StdDev,Overall Responses,StudyHours Mean,StudyHours StdDev,StudyHours Responses,Attendance Mean,Attendance StdDev,Attendance Responses,Valuable Comments,Improvement Comments,Credits,SBC,Prerequisites,Advisory
AAS110,AAS,110,01,Spring,2016,APPRECIATING INDIAN MUSIC,Aruna Sharma,https://classie-evals.stonybrook.edu/Section/details/AAS/110/01/LEC/1164/50225,1,10,43,27,12,3,1,0,0,0,0,0,0,,,,1.38,1.02,1.0,1.38,1.02,1.0,"I learnt about the Indian Classical Music and how this form of music is structured and organised. We were taught about the various structures and parts of Indian Classical Music that together makes Indian Classical Music the way it is now. | Learning the breakdown of music was cool and applicable to any kind of music we hear! That was cool to learn. Moreover, the tals used in background of music. Also, applicable to music we hear even in bollywood. | The fundamentals of Indian music are really discussed in depth. We were immersed in a whole new culture and style of music. | Professor Sharma is an amazing teacher, she is so passionate about what she teaches and makes class very enjoyable | The notes on blackboard. TAs
Going over important topics for the exams. Midterm reviews.","There was too much memorizing for a 100 level class.  While the test questions were reasonably broad, it's very difficult to study when the class is told to memorize ALL of the material from the textbook, notes, and handouts.  If a topic is not discussed in class (gharanas), it should not be tested.  I think gharanas was going to be discussed but because no one had read the chapter, the professor gave up.    
Also, I think it would be more helpful to teach the Raga Yaman using the piano or some way to specify the notes being sung. Breaking it down into sections would make it easier to learn well.  It's very difficult to try to learn a fairly complex melody by ear when people are singing it incorrectly. At the very least have the professor please sing it by herself first a few times.  
As for learning the material, it would be helpful if the professor actually taught instead of having students write one thing they learned from the chapter on the board.  This results in very disorganized and possibly incorrect information.  
I noticed a lot of people struggled with the difference between sharp/flat and the different registers.  I think it would be super helpful to play on the piano, for example, Ga then Ga flat and then Ga and Ga in the upper register so people can hear the difference.
I also think we should spend more time listening to ragas in class or have more of them assigned for homework.  I realized at the end of the semester that we had only listened to one and I think it would benefit people to have heard multiple. | Maybe the teacher's expectation of kids who are solely taking the class for a Dec. A lot of these kids know music already but I needed more help because I barely knew anything about fundamentals. | I did not like the textbook we had as much. It would be nice to learn the music through just class lectures, videos and seeing examples over reading chapters on it. Or a simpler outline! | I do not think it was fair for students that were weak in pitch perception. It was practiced many times but not really taught. Also, book material was not really explained in class much. | a great course, but there are really too many specific terms and concepts need to memorize for the quizzes and exams. It will be much better if allowing a cheat sheet.",3,ARTS,,
AAS110,AAS,110,01,Summer,2016,APPRECIATING INDIAN MUSIC,Aruna Sharma,https://classie-evals.stonybrook.edu/Section/details/AAS/110/01/LEC/1166/65949,1,11,8,7,1,0,0,0,0,0,0,0,0,,,,2.33,0.5,,2.33,0.5,,I enjoyed the closeness of the course and how it made us think in different ways about music. There is so much more we can learn from other cultures from there music. | Professor was great | Singing!,"the requirements of the students and the reading that need to be done. Many time i felt that there was a lack of communication before a test on what material should be known. Also it would have been helpful to go over the reading more in depth then just the students asking what certain words are. If she would tell us the points that she really wanted us to focus on that would be helpful. Also the videos that were viewed in class, if those were available to watch again on blackboard i feel that would also help out the students.",3,ARTS,,
AAS110,AAS,110,01,Fall,2016,APPRECIATING INDIAN MUSIC,Aruna Sharma,https://classie-evals.stonybrook.edu/Section/details/AAS/110/01/LEC/1168/89983,1,12,51,23,11,9,8,0,0,0,0,0,0,,,,1.23,0.82,,1.23,0.82,,The course material was very engaging and interesting. There were cultural aspects woven into the study of classical music that extended beyond the indian subcontinent. Professor Sharma is a very warm and caring professor who truly understands her students as individuals. | I found the professors enthusiasm and passion for music to be inspiring. Her stringent ways of engaging the classroom gives the class a feeling of homeliness. | I did really like learning about Indian music I liked having this knowledge outside of the classroom believe it or not it actually came in handy a few times | Indian music is a unfamiliar area for me beacause I hardly knew before I chose this class. It teaches me a lot more than I expected. | It was intriguing and a nice break from my main CSE classes. Learning of the different nuances of classical indian music.,"The professor expects way too much from her students. She should focus on subjects that will actually be on the quizzes and exams instead of singing in class. She puts too many topics on the exams - she should break down what is and what is not important and tell us what to focus on. She is not sensitive to recognize that the subject matter is completely foreign to those of us who are not Indian. Instead of telling us to 'go read the chapter' she should actually teach us the material. | I think the course could be improved if it was more practical and singing based. I believe this would truly make the class appreciate and understand music in much more depth compared to learning it by the book. Reading the book intensively and focusing on specific terms and details makes the work not only cumbersome but brings about a lack of the aesthetic beauty of music which can only be understood by experiencing it. | the professor fails to explain topics clearly and reacts discouragingly when students fail to answer questions in class correctly. The course being on Indian classical music has a lot of hard local terminology from India, it is hard for Indian students to understand her and even harder for the the non Indian students (only because its hard to understand the professor and her manner of conducting class) | The professor assumes we have knowledge of musical terms or just how music works in general. This is an intro class I don't think anyone actually knew what she was talking about half the time she should teach us the basics before going into the more complex stuff. | The TAs should be more prompt with uploading documents online and practice questions before exams would be helpful so the nature of the questions is slightly less unexpected.",3,ARTS,,
AAS110,AAS,110,01,Spring,2017,APPRECIATING INDIAN MUSIC,Aruna Sharma,https://classie-evals.stonybrook.edu/Section/details/AAS/110/01/LEC/1174/49940,1,13,49,21,12,8,5,0,2,0,0,0,1,,,,1.33,1.02,1.0,1.33,1.02,1.0,"I valued that the course was not entirely just a theoretical approach to understanding Indian music. There are many opportunities to get involved like singing, pitch perception, listening to rhythms, and such all during class that make it more engaging than just listening to an instructor talk and recite a textbook. | Gaining more experience with music, as it is something I am extremely interested in but often have no time for. I will definitely be able to keep and use some of the knowledge we have used throughout the class, like vocal exercises and knowledge about Classical Indian music for example. | Making sure to read the text. 
Challenging class but has its fun moments and can be very interesting. 
Office hours are helpful. 
Asking questions and participation was key to success in course.
Vocal and listening activities were effective. | You get to learn new stuff that is about indian classical music. The class is interesting and teaches you a lot about classical music. Study hard whatever the professor tells you to and you'll do fine. | Learning about Indian classical music as it differs from popular Southeast Asian music was valuable for me in terms of understanding the culture and the music better. Interesting material.","The professor is very poor at effectively communicating with other cultures, as she frequently stereotypes her students based on their race and makes people extremely uncomfortable.  She has made blanket statements regarding certain ethnic groups and their inability to perform certain activities well just because of a stereotype she firmly believes. She has also made comments about how one gender is better than the other. she has pulled the names of students who were doing poorly and wrote them on the board for the class to see.  Along with this, her expectations of students are also pretty ridiculous. She is extremely strict with attendance and tardiness, and expects you to know and understand every part of the book that she assigns, from a $45 book that she wrote, which has a combination of hindi and english words and is very difficult to follow. | Style of teaching could be more organized. Difficult to learn tals and pitch perception without extensive practice in class. I would've preferred for the professor to sing the bols and then akar consecutively to help students learn to associate them more easily. More difficult if you have not already taken a music class. There should be a MUS prerequisite for this course. Expectation of students is not reasonable: if it takes professional students of classical music months to learn pitch perception, it is unreasonably difficult to learn within the span of a few classes. | The course could be improved if the teacher is more professional and doesn't favor some people over others. Teacher's expectations are too high for a 100 level beginners course, so more time must be spent in class reviewing the material that will be tested on the tests. Teacher should not openly criticize a student's singing and grades in front of other students. | It is an interesting course, which is why I took it, but the Professor made me resent coming to class. She picks on students even when they are not comfortable with singing in front of the class. She has unrealistic expectations for students and how much they are supposed to memorize even if they don't know the language. She picks favorites. | Perhaps maybe a little less emphasis on pitch perception (ear training). The majority of the students have no music background so the course could be improved if there was less emphasis on pitch perception or more time allocated to gradually training the whole class.",3,ARTS,,
AAS110,AAS,110,01,Fall,2017,APPRECIATING INDIAN MUSIC,Aruna Sharma,https://classie-evals.stonybrook.edu/Section/details/AAS/110/01/LEC/1178/87160,1,14,49,20,17,7,3,1,1,0,0,0,0,,,,1.33,0.9,,1.33,0.9,,"The most valuable thing I learned about this course is learning about music and basic principles. That is it, there is nothing else that is valuable. The professor needs to understand that some of us have never taken a music course, ever. Chorus in high school is non-comparable as we learn how to sing and use our voice and diaphragm, we don't learn past that. She needs to slow down and make topics more clear, she needs to stop throwing terms randomly at us and expect us to know what she's talking about. Her expectation on what we should know is completely unattainable. | Prof. Sharma has the best intentions for her students and she tries to answer questions and explain the material as well as she can. She has a true passion for music and she tries to engage with students through individualized attention. I liked how she gave us some clues as to what would be on the quizzes/tests. Without that, I would definitely not have done so well in her class. | I found the professor's desire to teach and help all the students to be the most valuable. She wanted all her students to  be able to excel and helped in any way that she could. | She very knowledgeable about the subject. I recommend students to take this course irrespective of your musical background, because it is not a course meant for singers only. | Dr. Aruna Sharma is very passionate about Indian Classical Music. Because she encourages us to sing it class, it brings us out of our comfort zone.","I think if the reading materials were covered better in class, the course would be much smoother.

In addition, the Hindi terminology needs to be spelled consistently (I've seen some terms spelled three different ways throughout the course), as well as to either be explained better (so students will learn it instead of simply learning how to regurgitate), or less emphasized. As it is now, the more specific and less used Hindi vocabulary is a matter of regurgitating the meaning, rather than explaining it. Instruments and general terms like 'tabla' and 'raga' are fine, but testing us on the name of the relation between Sa and Ma is more of a vocabulary question than a music theory question, and does not test our actual knowledge of the material.

Finally, the test questions should be revised. While there's rarely anything gramatically wrong with them, they tend to incorporate terminology and phrasing that is awkward to most English-speakers like myself. I'd suggest having a TA look over the phrasing of test questions, and modify the phrasing if necessary so that what the question is asking is more clear to the student. | STRUCTURE. STRUCTURE. STRUCTURE. Teach things in a timely, organized manner! Stop throwing terms around and expect us to know, MOST OF US don't speak Hindi and find it really difficult to keep up with terminology. Attendance should not be harsh, as many of us have personal things going on that I wish we didn't have to mention an excuse or provide notes that she deems as reasonable to be absent. Some of us wish to not disclose our privacy and to be fair, we pay for the class, let us be responsible for our attendance. This class needs to be more organized and topics made clear. | This class is said to be 'appreciating Indian music' and to learn more about the musical culture of India. However, I felt that we did more term based things that just taught about the structure of music. I hope that the course can appreciate the culture of it more, rather than the technicalities. | I wish I could spend more time with the professor and TAs in the office hours to understand more, i preferred the one-on-one teaching. | It would be nice to compare classical Indian music to modern indian music or to music in other countries for reference.",3,ARTS,,
AAS110,AAS,110,01,Spring,2018,APPRECIATING INDIAN MUSIC,Aruna Sharma,https://classie-evals.stonybrook.edu/Section/details/AAS/110/01/LEC/1184/47025,1,15,47,29,9,3,4,0,0,0,0,0,2,,,,1.24,0.89,,1.24,0.89,,"The class itself is interesting and very different from the average class at Stony Brook. Attendance is important and you will occasionally be asked to sing in class although you will never be forced. All in all, it makes for a nice break in a day filled with technical classes where you can just enjoy some music | The most valuable thing is learning about specific Indian terms used in Indian Music. Also, TAs are really helpful that they are always there in or ouside the class whenever you need help with the course. | I learned about a novel subject which I didn't have knowledge about before. Before this course, I could not perceive which notes are being played, or which genres of music exist in Hindustani music. | I thoroughly enjoyed this course! I had some musical background in Western music but can now confidently say I know classical Indian music even better! SO much fun and lots of singing! | The Professor is a very nice person and easy to get along with. We learned many aspects of Indian music, so it is easier to understand India's thoughts on music now.","The course doesn't require students to have music background. However, having it is a HUGE advantage, especially Indian music background, since there is pitch perception (telling which note and which beat it is from hearing it). The professor is friendly and helpful in general, but she did favor some students over others. There is so much reading from the book and additional provided materials to memorize. The exams always cover 'everything and anything we have learned'. | Professor sharma has to check her emails on a frequent basis alike professors. In general, sbu should provide tech related training to professors like her. She does not follow the weekly readings posted in the syllabus. I found this class disorganized and slightly challenging. I didnt enjoy what i learned. | The attendance requirement is strict to the point where missing class could be a problem. A certain allowed amount of absences would be nice so that if one was sick for example, it would be okay to miss class the one time. | I think the teacher could focus more on other students and also have a set guideline of the lectures so that we know what we have to learn. It was very difficult to know what to learn because we had very relaxed lectures. | Tone down the reflections. I can read and study and sing and take tests but I cant pick up on specific things in a song yet. My reflections on any in class songs were made up, Like most others in the class.",3,ARTS,,
AAS110,AAS,110,01,Fall,2018,APPRECIATING INDIAN MUSIC,Aruna Sharma,https://classie-evals.stonybrook.edu/Section/details/AAS/110/01/LEC/1188/86751,1,16,43,28,5,7,1,0,0,0,0,0,2,,,,1.24,1.06,1.0,1.24,1.06,1.0,"I've never had the chance to learn about the Indian music, so it was a very interesting class for me. Professor Sharma allowed me to appreciate Indian music like the course name itself. However, I do not believe that this course is a free A like many assume it to be. Take it at caution. | The most valuable thing is that I learned the cultural difference and musical difference between China and Indian. This class is really funny and educational. | The most valuable thing about this course was learning more about my culture's music, for instance, going in depth. | There was an interesting aspect of knowing in-depth about the root of music and its particular features. | Learning about the vast music history of India and how complex the singing structure is.","The instructor sells her book for 65 dollars approximately and with tax 67 yet the printing of the book is so poor that it is nearly illegible and I felt overall dissatisfied I paid so much for a book yet couldn't even read it, so the print job of the book could be improved. Lastly, the instructor expects us to know information on music that requires at least 2 years of Music classes rather than one semester. | It can be improved by giving out more reasonable extra credits because the Midterm was a lot of information to memorize and the time given was extremely short and it counts for so much percentage of the grade. All the extra credit comes from the voluntary participation to extra lectures outside of class and it always happened on the same time/day of the week and I could never participate it. | Some things we spent too much time on and others not enough. We had two more chapters of reading dumped on us before the final despite only reaching chapter 5 at that point. I would have liked to have listened to more Indian music too. Too many concepts were only described in the abstract with no examples of how they're actually applied in Indian music. | The professor left all the teaching to the TA, who was great but was hounded by the professor. The professor would give us definitions but then tell us to elaborate by ourselves. She did not tell us what she wanted and took marks off when we wrote what we were presented with in tests. | The structure of this course could use a lot of work. The difficulty of the 1st real midterm at the end of the semester is not reflective of the work the student does to prepare for it. This class is pure memorization of assorted concepts that barely link to form a course.",3,ARTS,,
AAS110,AAS,110,01,Spring,2019,APPRECIATING INDIAN MUSIC,Aruna Sharma,https://classie-evals.stonybrook.edu/Section/details/AAS/110/01/LEC/1194/46564,1,17,48,16,16,9,5,0,1,0,0,0,1,,,,1.45,0.95,,1.45,0.95,,"Nothing. The instructor does not teach, she just goes on senseless tangents and constantly interrupts the poor TA's while they try to teach. She also asks students questions they have no way of knowing the answers for, but the interrupts them before they have spoken three words. She is blatantly discriminatory against non south asian students, and expects students who have never spoken Hindi to memorize songs in Hindi for exams. | Aruna Sharma is very passionate about her subject and is very effective in teaching the subject. Not only did I get to learn Indian music, but it was also like exploring another culture. It was interesting to see the similarities and differences between classical Indian music and western classical music. | The course it very informal and very chill. I love the environment that Dr. Sharma created and she is very encouraging with everyone to participate but she does not force people to. She is an excellent instructor and a sensational singer | Class was a  lot of fun. However, the material was pretty difficult especially since the words are in another language. One of my biggest problems was perceiving pitches. Everything is based on memorization | This class provides the basics to understanding music, but does so in a unique way. The focus is on how one would learn in India, which is very different from traditional american ways.","I felt that students who did not have prior musical talent or knowledge found themselves struggling with a lot of the in-class participation, which we were told would be graded to our own advantage and disadvantage. Students without that talent or knowledge were often unable to perform well during these, while students with the background excelled and will likely get a much higher score. However, being that this is an introductory course, I feel that there should be more opportunities for the majority of the class to participate and do well, especially those that are more shy or easily discouraged/embarrassed. | Perhaps there shouldn't be a bias for the students who can sing and the others. The professor has her favorites and she doesn't shy from showing it.  Also,clear guidelines should be given on what is going to be on the test. | Nothing, much. Maybe a rule that you can miss at least one class. It was also very hard for someone who doesn't speak Hindi to pronounce some words. But otherwise, memorizing how to write the words is fine. | Her expectations from the students was overbearing, she didn't teach the material enough for her to expect so much of her students. So specific with no real grading rubric, high favoritism. | the study guides should either be more specific to what the test is on, or the test should be more questions to match the amount of information on study guide.",3,ARTS,,
AAS110,AAS,110,01,Fall,2019,APPRECIATING INDIAN MUSIC,Aruna Sharma,https://classie-evals.stonybrook.edu/Section/details/AAS/110/01/LEC/1198/85943,1,18,44,15,10,13,3,0,1,2,0,0,0,,,,1.52,1.36,1.0,1.52,1.36,1.0,"I took this class for the ARTS requirement, but I genuinely enjoying learning from Professor Sharma. She values participation and initiative, but is lenient in terms of grading. This is known to be an easy A class, but Professor Sharma is incredibly knowledgeable, so if you are looking to learn as well as get the A, take this class. Barely any homework, and quizzes are mainly memorization. | the course was extremely interesting, i learned a great deal about indian music from this class. the professor provided not only an in depth understanding of the topic, but also explained the logic behind various concepts taught in the class. | she taught us nothing, expected us to know everything. I still dont know what alap is and she spent three classes going around the classroom asking us if we knew. She never ended up explaining what it is. | Topics are interesting, but she makes it very complicated. Power Point presentation is not necessary.Quizzes and midterms are very hard.Final is upcoming so I do not have any idea about it.Hard class. | I found it very valuable that Dr. Sharma was very invested in our learning and encouraged us in each class to take charge of our own learning. It was very motivating and powerful.","I think instead of making the students teach each other I’d rather Dr. Sharma explain everything. I feel like she didn’t really teach and therefore a lot of the material on the test would really confuse me and I wouldn’t know what she was looking for in my answer. | Make sure you always attend class as it is a major component in calculating your final grade. It is possible to do bad on quizzes and exams and still get an A as long as Professor Sharma sees you actively PARTICIPATING in class conversations. | If she actually put effort into teaching instead of just asking us things and expecting us to know. We are not all trained in indian music. A powerpoint slide would be very helpful. | We could maybe not have the pitch perception as part of the class, because its a skill that's not easily obtained and most people are not able to do it. | She does not effectively explain the material at all. Tests and quizzes do not match up with what we do in class.",3,ARTS,,
AAS110,AAS,110,01,Spring,2020,APPRECIATING INDIAN MUSIC,Aruna Sharma,https://classie-evals.stonybrook.edu/Section/details/AAS/110/01/LEC/1204/45826,1,19,39,19,11,6,1,0,0,0,0,1,1,,,,,1.25,1.0,,,,,,3,ARTS,,
